scenes_stereo\bus03.wav 	 bus 
scenes_stereo\bus04.wav 	 bus 
scenes_stereo\busystreet03.wav 	 busystreet 
scenes_stereo\busystreet04.wav 	 busystreet 
scenes_stereo\office03.wav 	 office 
scenes_stereo\office04.wav 	 office 
scenes_stereo\openairmarket03.wav 	 openairmarket 
scenes_stereo\openairmarket04.wav 	 openairmarket 
scenes_stereo\park03.wav 	 park 
scenes_stereo\park04.wav 	 park 
scenes_stereo\quietstreet03.wav 	 quietstreet 
scenes_stereo\quietstreet04.wav 	 quietstreet 
scenes_stereo\restaurant03.wav 	 restaurant 
scenes_stereo\restaurant04.wav 	 restaurant 
scenes_stereo\supermarket03.wav 	 supermarket 
scenes_stereo\supermarket04.wav 	 supermarket 
scenes_stereo\tube03.wav 	 tube 
scenes_stereo\tube04.wav 	 tube 
scenes_stereo\tubestation03.wav 	 tubestation 
scenes_stereo\tubestation04.wav 	 tubestation 
